legal_name,ssn,approval_status
noah,2577893215,approved
emma,3495624785,approved
rafael,4545445786,approved
federer,1225814651,approved
djokovic,1451541871,approved
lebron,5284234457,approved
steph,5827559854,approved
jalen,8526997415,approved
jason,2511452557,approved
gianis,2154444444,approved
joel,9567415414,approved
vandijk,3325548888,approved
trent arnold,1454444512,approved
robertson,8569712345,approved
firmino,4544745758,approved
sadio,9875642310,approved
mo salah,3251469870,approved
nunez,6987425130,approved
luis diaz,4568792310,approved
diago jota,2106589743,approved
